,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,너무맛있어요ㅜㅜ 여기먹다가 다른곳떡볶이못먹어요 ,120491,63068,사월이,2,대전시 서구 정림동 630,1,164554,36.30463028,127.36595154,전떡연,2015-02-22 23:01:51
1,"만두와 칼국수를 직접 만든다.

게다가 우리밀을 사용함.

음식 맛도 좋음.  

주문하고 대기시간이 조금 오래 걸림.",34142,10516,찌용??,3,대전시 서구 정림동 8-61,1,164569,36.3070321,127.3690972,우리밀만두,2014-04-28 11:46:13
2,강추!!!,354718,755957,speranza,3,대전시 서구 정림동 18-26,2,328638,36.3067549,127.3679104,짬뽕예술관,2017-06-28 22:56:20
3,"닭발 줄서서 먹는집 처음..
선지국 강추..
포장까지..",145683,139803,hee chan~yang,2,대전시 서구 정림동 162-1,1,164559,36.3045797,127.3670308,송가네닭발,2015-06-21 12:00:32
