,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"서비스도 괜찮고 맛도 있어요. 참치가 무한리필!!!
해초랑 같이 먹는 참치 맛이 일품이에요~
쓰기로 나오는 구이도 너무 맛있었어요.~~
구이랑 콩나물 찜이랑 방은 환성의 조합!!!
다음에 또 와야겠다고 생각하고 있어요~^^
",200535,468221,이민호,3,대전시 서구 복수동 475,1,243001,36.2998141,127.3779269,수참치,2016-02-16 21:31:51
1,사장님도 좋으시고 참치 부위도 가격대비 넘 좋아요 리필도 해주시고 맛있는 참치머리 쪽 부위 구이도 진짜 맛 베리굿 입니다 나오는 모든 스끼들이 다 맛도 있고 굿 임다 전복죽도 전문점만큼 맛있어요~~^^,274873,646748,이상철,3,대전시 서구 복수동 475,1,243001,36.2998141,127.3779269,수참치,2016-10-23 21:45:23
2,포장배달도 시작하셨는데 가격대비 최고네요~~꼭 포장시켜보세요  ,290777,646748,이상철,3,대전시 서구 복수동 475,1,243001,36.2998141,127.3779269,수참치,2016-12-23 16:03:09
3,햇잎갈비 오월드점이 좋은게 놀이방시설이 잘되있더라구요~ 테이블에서 놀이방에있는 아이가 노는거 볼수있는 모니터두있고 ㅎ 아이있는 가족식사로 가면 딱 좋은 맛집~  물론 갈비도 적당히 달달하면서 양념이 잘베가지구 맛도 좋아요~ 샐러드바두 잘대있는데 특히 구운마늘이 있어서 고기먹을때 마늘 완전 마니먹는 저로서는 완전좋음 ㅋㅋ 그밖에 떡복이랑 전 정도두 있어요 ㅎ,151978,240081,지유♥,3,대전시 서구 복수동 632,1,36687,36.2993163,127.3796597,햇잎갈비,2015-07-13 12:25:57
4,"오늘 점심은 칼국수  가성비에 최고입니다 얼큰칼국수 3000원에 3시이전 공기밥 써비스 맛도 착하고 가격도 착한 식당  사람들 많네요 보쌈 족발도 맛있다고함 다음에는 족발 보쌈 클리어~~ㅋ
좋은 한주~~^^",277007,646748,이상철,3,대전시 서구 복수동 283,1,202047,36.30984841,127.37707663,복수칼국수,2016-11-01 12:51:18
