,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"가격이 비싸지 않고 밑반찬으로 나오는 어묵볶음이 맛있다.
찌개의 간이 짜지 않고 먹을만 하다.
같이 나오는 숯불고기가 향이 좋다.
가게 안에서 직접 굽는건지 액을 사용하는건지 모르겠지만, 가게에서는 연기가 없다.
가격대비 먹을만 한 집",309656,722980,두부,3,대전시 중구 중촌동 68-9,1,188821,36.34301098,127.41120239,낭만순두부,2017-02-15 16:07:25
1,한끼 제대로 먹고싶다 할때 가면 좋아요,136367,117648,이수경,3,대전시 중구 중촌동 68-9,1,188821,36.34301098,127.41120239,낭만순두부,2015-04-29 23:03:45
2,"한우깍뚜기 1인분 18000원.
2+등급 한우를 이가격에 먹기는 힘들죠^^
가격도 저렴하고 무엇보다 신선도가 최상!
곁들어 나오는 파인애플을 함께 구워드시면 
더 맛있어요~",43698,18729,나영 이,3,대전시 중구 중촌동 18-3,1,185276,36.33757019,127.41281891,콘화로구이,2014-06-04 15:29:27
3,깔끔하고 좋은 것 같다. 내 입맛에는 좀 짠 것 같지만... 주변 분들이 다들 추천 함,101378,19740,정계승,2,대전시 중구 중촌동 401-15,1,16911,36.3374109,127.4138212,서울북어,2014-11-18 20:20:06
4,"예기치않게 가게된곳
보기와 다르게 나에겐 간이 좀 쎈 느낌이었다.
그냥 저냥 맛나게 먹었음
",343055,202502,제이림,2,대전시 중구 중촌동 69-3,1,209486,36.34299114,127.41172806,신도칼국수,2017-05-21 20:45:11
5,여기 맛있음..칼국수랑 족발 추천...,118670,35604,Kim hyun-joong,3,대전시 중구 중촌동 99-8,1,164044,36.3393505,127.4121822,토종칼국수,2015-02-12 13:25:37
6,"요즘엔 느낄수 없는 집에서 한 구수한 국물이 일품이에요!! 
강력추천!!!",47839,21616,수진 이,3,대전시 중구 중촌동 99-8,1,164044,36.3393505,127.4121822,토종칼국수,2014-06-17 00:34:19
7,우리밀 쿠키 맛있어요! 좋은 재료로 만드는 빵과 쿠키! 건강해지는 기분! 헿 쿠키 진짜 짱 좋음♥,44558,19740,정계승,3,대전시 중구 중촌동 100-13,7,164035,36.3389473,127.41171265,평화가익는부엌보리와밀,2014-06-06 12:12:49
8,,137074,123172,KimYujin,3,대전시 중구 중촌동 410-23,1,164032,36.3354103,127.4124871,선진국낙지마당,2015-05-03 21:03:59
