,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"치킨장난없어요♡종류별로 거의다먹어봤는데
실패한적이 없었어요!젊은 사장님이랑  직원분들이 소신을 갖고 운영하는데 가게도 정말 청결하고  다들 친절하세요~!!무엇보다 알바하는 피부 까만 오빠 존멋♡
",161622,202291,서녕,3,대전시 대덕구 석봉동 770,1,35764,36.4513791,127.4203433,강호동치킨678,2015-08-17 23:46:45
1,"여기 예전에 몇번 배달 주문했었는데
1시간이상 걸려요
늦어서 죄송하단 말 한마디 없이 가니
더 화가 나더군요~
그말 한마디면 충분히 이해할수있는데 말이죠~
또 한번은 주문 잘못받고선 다른게 와서 첨엔
그냥 먹었죠 이왕 온거니~
그런데 다음번에 또 잘못와서 바꿔 달라니
안된다고 하더군요
사장이 더 막무가네 안된다 하더군요
젊어서 그런지 배짱 장사예요
그후론 여기 안시킴니다~

",191116,461990,백정규,1,대전시 대덕구 석봉동 770,1,35764,36.4513791,127.4203433,강호동치킨678,2016-01-11 18:58:23
2,여기 진짜 치킨도 맛잇구요 배달주문할때 전화받으시는 분 너무 친절하시구 배달두 진짜 빨리와요 먹으러 갈때 홀 알바생분도 훈훈하시구 완전 대박이에요 앞으로 치킨은 여기서만 먹어야겟어요 믿고먹는 강호동치킨,160155,7872,전형진,3,대전시 대덕구 석봉동 770,1,35764,36.4513791,127.4203433,강호동치킨678,2015-08-10 14:24:34
3,진짜 세젤존맛이다. 코리안바베큐 다음으로 세젤맛탱~~~,346440,643915,코코몽,3,대전시 대덕구 석봉동 200-8,8,35712,36.45136261,127.42636871,그릴맨바베큐치킨,2017-06-02 03:45:41
