,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"카페라고 되어있는데 고기집이예요^^
돼지고기 10000원 무한리필과 소고기 전문점^^
사장님 친절하시고 고기 그자리에서 직접 썰어줘요",145834,190730,김광이♡♡,2,대전시 동구 성남동 62-8,7,164001,36.3407121,127.4367874,좋은날,2015-06-21 22:24:15
1,"그냥 먹을만 하다. 좋은점은 아주 깔끔하다는것?
직원들도 친절하고 생수나 물수건 등을 일회용으로 사용하여 위생적이다.
맛도 특별히 맛있지도 맛없지도 않은 맛.",309658,722980,두부,2,대전시 동구 성남동 494-5,2,249288,36.34868409,127.43679206,짬뽕지존,2017-02-15 16:19:48
