,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,일단 분위기가 좋고 학교 앞이라 가격이 좋아요!핑크와 그레이로 여성분들을 사로잡기 좋습니다,300865,699254,유동현,3,대전시 동구 홍도동 102-11,7,272616,36.35114855,127.42714038,카페 웰커밍,2017-01-19 09:49:17
1,계란 한판들어 간다는 한남대 참새집 .. 네명이서 6000원 짜리계란말이 하나만 시켜서 먹어도 배터져요 진짜 맛있어요 ㅠㅠ 여기 음식 왠만한 식당보다 훨씬 맛있고 저렴해요 꼭 가보세요 비빔만두도 양 엄청 많고 맛있어요 ㅎ,200089,486357,송혜진,3,대전시 동구 홍도동 96-22,8,242263,36.35095665,127.42636841,참새집,2016-02-15 07:49:51
2,엄청큰솥뚜껑에돼지고기를구워먹는데너무고소하고맛있어요~^^ 판에올려진콩나물과김치가너무맛나요~^^,180489,438554,민아,3,대전시 동구 홍도동72-34,1,227129,36.3476973,127.4296767,대전정육식당,2015-11-21 10:11:51
3,"양도 많고 저렴해서 자주 배달시켜먹습니다.
좀 특이한 매운맛이랄까 카레맛도 나는거 같기도 하고 후추도 넣는것 같고 할튼 가끔 생각남",337178,202502,제이림,3,대전시 동구 홍도동 78-4,1,240705,36.35174082,127.42783878,신가네매운떡볶이,2017-05-05 01:29:05
4,"요즘  신떡많이들찾는데  저도엄청조아하거든요
맛있습니다",158366,52229,은갱양갱,3,대전시 동구 홍도동 78-16,1,36183,36.3521322,127.4278278,신떡,2015-08-02 10:06:56
