,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"여기 진짜 괜찮아요! 가격대비 양도 많고 맛있어요ㅎㅎ
사장님들도 친절하시고 특히 남자사장님 말투가 약간 시크하신듯 친절해서 너무 좋다. 어쩌다 한번씩만 가도 기억해주셨다가 잘 지냈냐고 물어봐주시기도..ㅋㅋㅋㅋ 여기 가면 떡볶이&순대튀김 꼭 드세요! 튀김 너무 맛있음^.^",218698,488098,수연,3,대전시 서구 가장동 55,1,190957,36.3338321,127.3841518,빨간늑대,2016-04-24 02:41:01
1,"맛, 가성비, 친절함 무엇하나 빠지지않는 치킨집입니다.
시험공부로 밤을 지새는중에 너무 먹고싶어서 등록에 리뷰까지 쓰게되다니...

여러분 어떤 치킨이던 치킨은 옳습니다. 치킨을 믿으세요! 치렐루야!!",219703,540528,말랑말랑조랑말,3,대전시 서구 가장동 55,1,256462,36.3338321,127.3841518,야미치킨,2016-04-27 02:08:56
2,"드디어... 먹었습니다!!  얼마만에 먹는지 ㅠㅠ
자주먹을 때에는 일주일에 3~4번은 먹은 것 같은데ㅋㅋ;;
제가 제일 좋아하는 뼈있는 후라이드, 매운소스, 콜라 조합입니다!",224919,540528,말랑말랑조랑말,3,대전시 서구 가장동 55,1,256462,36.3338321,127.3841518,야미치킨,2016-05-15 23:24:57
3,"여기뭐그냥ㄱㅊ
학생이나애들먹기좋을꺼같음 특히학생 싸니까",201184,448861,링랑,2,대전시 서구 가장동 55,4,240744,36.33383328,127.38415567,피자스쿨,2016-02-18 15:44:11
4,진짜맛있었음 좀불닭볶음면소스맛남 양도가격대비괜찮고 중간맛따위없는데중간맛으로해주세요~~했더니 지코바보다덜매우면서 맛있고 적당하게잘해주셨음 무도팩에들어잇는그런게아니라괜찮았고 콜라는병으로주심 색달라서좋았지만따먹느라힘들었음 암튼괜찮♡계속이용할예정,201191,448861,링랑,3,대전시 서구 가장동 55,1,243138,36.33383328,127.38415567,불로만숯불바베큐,2016-02-18 16:18:43
