,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,세종에서 차 몰고 30분 왔지만 후회 없는 맛!!,265477,347731,Deus ex Libido,3,대전시 대덕구 목상동 146-1,1,36008,36.4476557,127.4100661,방일해장국,2016-09-20 13:57:39
1,소스가 진짜 존맛,62802,28814,진,3,대전시 대덕구 목상동 146-1,1,36008,36.4476557,127.4100661,방일해장국,2014-08-05 20:18:28
2,,51420,23202,유의상,3,대전시 대덕구 목상동 146-1,1,36008,36.4476557,127.4100661,방일해장국,2014-07-04 07:34:23
3,,51419,23202,유의상,3,대전시 대덕구 목상동 149-1,1,35645,36.4475519,127.4104845,찌글이짜글이,2014-07-04 07:34:07
